,user_id,username,bio,url
0,9187563654,monteronini_,"hurkle-durkling, brb 🦦
@mackybumthebully",https://www.instagram.com/monteronini_/
1,1544522478,rosemarie.anng,empty,https://www.instagram.com/rosemarie.anng/
2,563567867,hamedshojaie,Designer @buumi.space,https://www.instagram.com/hamedshojaie/
3,1614888440,jungjungpei,"Food, Bath, Chill, and Grapes",https://www.instagram.com/jungjungpei/
4,53380075298,bluishdumpingground,empty,https://www.instagram.com/bluishdumpingground/
5,4031860385,e.artha,.,https://www.instagram.com/e.artha/
6,327941986,amandalcam,"Go - do what you love. 
Squamish, BC
📹Video Producer & Director @georgiastreetmedia 
Short Film: @nature_entwined
Freelance Photographer:",https://www.instagram.com/amandalcam/
7,49903407211,abhinandhana__abby,"🏳️‍⚧️ 
ATHIEsm
𝕃𝕚𝕧𝕖_laugh_𝕃𝕆𝕍𝔼💕",https://www.instagram.com/abhinandhana__abby/
8,12434506005,lumajul_,@lnm.studio,https://www.instagram.com/lumajul_/
9,27866866342,diegomanuelsotomarquez,Link,https://www.instagram.com/diegomanuelsotomarquez/
10,467083542,mikehopkinsphotography,"📸🇨🇦Photographer 
📖 Alberta Bouldering Guidebook 📝",https://www.instagram.com/mikehopkinsphotography/
11,715141235,lelya_lelyaa,"Software developer. Drama queen.
🇨🇦",https://www.instagram.com/lelya_lelyaa/
12,56003956753,anhdes_,in progress ʕ•ᴥ•ʔ,https://www.instagram.com/anhdes_/
13,51975225,css_killer,[ Web developer ] ->(🔪),https://www.instagram.com/css_killer/
14,7320556537,byjulierankin,Writer + Designer + Developer,https://www.instagram.com/byjulierankin/
15,8412447,erinbaileym,Poverty jet set. Culture vulture. Northside gal. 🦂,https://www.instagram.com/erinbaileym/
16,49307228074,arv.creative,"Creative Agency Based in Indonesia
➡️ Graphic Design, Logo, Social Media, Video Editing, App & Web Development, Illustration 2D/3D, Design Interior.",https://www.instagram.com/arv.creative/
17,47076567799,kevinlagier.design,Senior Digital Designer - Freelance,https://www.instagram.com/kevinlagier.design/
18,48930890675,ningh.0512,🇹🇼 Digital designer based in Taipei,https://www.instagram.com/ningh.0512/
19,1619973016,lola.garsonnin,"Locked in
CapU IDEA
@garsonnin.designs",https://www.instagram.com/lola.garsonnin/
20,67519159666,ellaspotlightgalq,🎬 scenes from my life | 📍 NY,https://www.instagram.com/ellaspotlightgalq/
21,199925669,auntie_kay_,"Design 💫 Illustration 💥 
Vancouver, BC (unceded territory of the Coast Salish peoples)",https://www.instagram.com/auntie_kay_/
22,65464707440,madelineadams.design,"Marketing & branding design | Visual identities & logos | Creative projects, design, fun stuff 🫶 Kamloops, Okanagan, Vancouver 📍",https://www.instagram.com/madelineadams.design/
23,42904945079,caitlinv.png,"Student RGD, GBC Graphic Design 2026
ECU/BCIT Communication Design 2023",https://www.instagram.com/caitlinv.png/
24,62050119198,juliemakeswebsites,"Accessible design + web development | sustainable web design | digital strategy | graphic design + more
👩🏼‍💻 Vancouver, Canada",https://www.instagram.com/juliemakeswebsites/
25,8646430447,wavesstories,empty,https://www.instagram.com/wavesstories/
26,4174012463,bonettoleo,Brand Design. Art Direction. Concept-Led Thinking,https://www.instagram.com/bonettoleo/
27,2258218696,anna.lise.cox,empty,https://www.instagram.com/anna.lise.cox/
28,259085991,jwilbert06,empty,https://www.instagram.com/jwilbert06/
29,181413793,geeordee,"If you’re wondering why I don’t post much, it’s because I only take pictures of my dog, @the.loveable.finn",https://www.instagram.com/geeordee/
30,305094172,serge_0v,empty,https://www.instagram.com/serge_0v/
31,53137382517,coutoutclippingpath,"Photo & Image Editing Company
Email 📧 __ coutoutclippingpath@gmail.com
Website
https://www.coutoutclippingpath.com/
WhatsApp
+8801776967211",https://www.instagram.com/coutoutclippingpath/
32,1689258756,ferg_cassidy,empty,https://www.instagram.com/ferg_cassidy/
33,59123599044,wearebujo.ca,"At our creative production company, we’re more than just a team; we’re a close knit family united by a shared passion for crafting excepcional stories",https://www.instagram.com/wearebujo.ca/
34,53595670682,g___gigi,film archives,https://www.instagram.com/g___gigi/
