,user_id,username,bio,url
0,25387265,thisisaliceko,"🇨🇦YVR ←🇨🇴Medellín ←🗽NYC 
💛 I help teams work better together
💡 ReframedCoaching.com
⚡️ Certified ICF Coach ← Marketing ← CPA",https://www.instagram.com/thisisaliceko/
1,52638564898,thrive_recruitment,"We are your go to search firm for Supply Chain, Operations & Manufacturing Recruitment in Canada
https://www.linkedin.com/company/thriverecruitment/",https://www.instagram.com/thrive_recruitment/
2,346893290,cannellonitony,empty,https://www.instagram.com/cannellonitony/
3,8241478681,nk.amaro,"“Trust in him at all times, O people; pour out your heart before him; God is a refuge for us”-Psalm 62:8 
MKA 💍
Mama to Theo & Kronk 🧸🐕
🍽✈️ @nkmedeats",https://www.instagram.com/nk.amaro/
4,10083686554,msegstudios,"Vancouver artist, photographer & event host🎨 - Embracing differences by studying different perspectives & relationships
Photography: @msegphotography",https://www.instagram.com/msegstudios/
5,177179947,nick_l_o,"Co-Founder @runasyouare
Co-Founder @runready.io
Co-Owner @vanrunco 
Advisor / Former COO @myodetox
Co-Founder @dayonebasketball",https://www.instagram.com/nick_l_o/
6,4911795962,automotivepress,empty,https://www.instagram.com/automotivepress/
7,36480414,marc.scape,"#unceded Vancouver, BC 🇨🇦 & 🇺🇸
All original; iPhone 12 Pro Halide Mark II
Keepin it real",https://www.instagram.com/marc.scape/
8,74250074143,firstafghangirlbarberette,"Barberette | Afghan Roots
Fades, trims & passion
Training in Vancouver
Free cuts — DM to book!",https://www.instagram.com/firstafghangirlbarberette/
9,623937873,cordially.cloots,"Event + Wedding Planner @aliciakeats 
Wifey + Dog Mom
Fitness Dabbler
Enrichment Seeker 
Vancouver📍",https://www.instagram.com/cordially.cloots/
10,68751831640,peoplepartnerships,"Helping founders & owners scale rapidly with accessible People Partnerships foundations from DAY 1.
HR Playbook | Fractional HR | Community | Coaching",https://www.instagram.com/peoplepartnerships/
11,67156753224,jenuinely.med,"🇨🇦 24 y/o med student
💻 ex-clean tech
☕️ cafe-hopper
⛳️ golfer
🎻 cellist",https://www.instagram.com/jenuinely.med/
12,57808773455,lougheed288,empty,https://www.instagram.com/lougheed288/
13,1528560207,bethstulen,Physiotherapist 🏃🏼‍♀️🚴🏼‍♀️,https://www.instagram.com/bethstulen/
14,431428294,hilbertng,empty,https://www.instagram.com/hilbertng/
