,id,username,user_id,state,bio,is_private,is_verified,is_professional_account,is_business_account,business_address,category_name,category_enum,media_size
0,45,planetofinterior,28592575966,in_progress,The selection of interior design meant to inspire.,False,False,True,False,,Magazine,,1684.0
1,90,interior_muc,49103555870,in_progress,"Munich 1920s Apartment 
Scandi Style | Warm Neutrals 🤍",False,False,True,False,,Personal blog,,199.0
2,3,interiormoments_,45265770662,empty,,False,False,,,,,,
3,38,interiorimprov,45191830478,in_progress,learning to make beautiful things,False,False,False,False,,,,21.0
4,9,archa.company,2259323061,empty,,False,False,,,,,,
5,28,inspo.interior.ideas,2026632866,in_progress,This is what we live for,True,False,False,False,,,,0.0
6,100,villavintage_interior,9420994942,in_progress,"Eclectic Escapes - möbliertes Wohnen.By Caro. Single-House-Owner, Reisende, mein Label @vacavaca_official",False,False,True,False,,Interior Design Studio,,314.0
7,82,germaninteriorlovers,31527427370,in_progress,"⋆ die tägliche Dosis Interior-Inspiration✨
⋆ wir haben ein ♥ für kleine Accounts
⋆ Repost: #germaninteriorlovers und @germaninteriorlovers",False,False,True,False,,Community,,40.0
8,20,booksplantslaura_,40331022362,empty,,False,False,,,,,,
9,21,nook_of_nils_interior_design,70255485687,empty,,True,False,,,,,,
10,22,mymellowmaison,43144083516,empty,,False,False,,,,,,
11,93,aandreatru,49251645954,in_progress,"→ Helping you learn Sketchup & Enscape for interior design 
→ 40K on YouTube 
→ Dm me “COURSE”
↓ Courses, Templates and +",False,False,True,False,,Interior Design Studio,,369.0
12,5,interiorhoch3,39440042255,in_progress,"🖤Familie T 👨‍👩‍👧‍👧
🙋🏻‍♂️ Papa trifft die interior Entscheidungen 
🤍158 m2 Etagenwohnung  🏠",False,False,True,False,,Blogger,,362.0
13,81,interior_design_studio_senn,52705221252,in_progress,"INTERIOR DESIGN SERVICES
BERATEN • PLANEN • WOHNEN
BASED IN ZURICH / SWITZERLAND 
CONTACT: info@interior-senn.ch",False,False,True,False,,Personal blog,,46.0
14,87,jessicaenanderdunne,740370129,in_progress,Interior Designer  |  High end residential,False,False,True,True,"{""city_name"": null, ""city_id"": null, ""latitude"": null, ""longitude"": null, ""street_address"": null, ""zip_code"": null}",Interior Design Studio,INTERIOR_DESIGNER,480.0
15,30,ce_interior__,39365986515,empty,,False,False,,,,,,
16,8,mybohointerior,34650086806,in_progress,"🔸️ | A community of @mybohointerior
🔸️ | Your daily dose of homely inspiration 
🛒 | Shop now 👇",False,False,True,True,,Home decor,TOPIC_HOME_DECOR,862.0
17,34,quadro_room,2436300766,empty,,False,False,,,,,,
18,35,spicinghomes,53375665635,empty,,False,False,,,,,,
19,40,interiorprojectstudio,62308555272,empty,,False,False,,,,,,
20,46,happyhomecopenhagen,18284041408,empty,,False,False,,,,,,
21,47,natchens_interior,48437769023,empty,,False,False,,,,,,
22,52,almadeluce_interiors,1692934002,empty,,False,False,,,,,,
23,56,interiorsbyjcurry,868964253,empty,,True,False,,,,,,
24,57,aprildawndesign.az,66028683226,empty,,False,False,,,,,,
25,58,interiorsocialclub,49620525158,empty,,True,False,,,,,,
26,61,daniela.vis,67134395308,empty,,False,False,,,,,,
27,66,voyagerinteriors,602473451,empty,,False,False,,,,,,
28,71,madebymowie,29150594,empty,,True,False,,,,,,
29,72,simplecasita,33542555012,empty,,False,False,,,,,,
30,73,instaevleri,53637236867,empty,,False,False,,,,,,
31,74,mjastudiointeriors,5843269974,empty,,False,False,,,,,,
32,77,klotz_interior,45214031104,empty,,True,False,,,,,,
33,79,bloominteriordesign_australia,1521694869,empty,,True,False,,,,,,
34,85,raw.home.interior,4147456007,empty,,False,False,,,,,,
35,86,interiorunivers,7019495670,empty,,False,False,,,,,,
36,91,thefamilylovetree,344373706,empty,,False,False,,,,,,
37,94,laurencollanderinteriors,2273068847,empty,,False,False,,,,,,
38,95,blush.interior.styling,3119845046,empty,,False,False,,,,,,
39,78,airesinteriores,45233431280,in_progress,"Inspiración - Interiorismo - Diseño de interiores
🧑🏻‍💻 @adollambay 
#inspiration #interiordesign #homedecor",False,False,True,False,,Interior Design Studio,,62.0
40,62,z_interior.design,20476850562,in_progress,"✨ Interior Design | 3D Visualisation
🏡 Residential & Documentation 
📍Sydney | Australia
📧 info@zinteriordesign.com.au | DM to book",False,False,True,True,"{""city_name"": ""Sydney, Australia"", ""city_id"": 110884905606108, ""latitude"": -33.86973, ""longitude"": 151.20825, ""street_address"": null, ""zip_code"": null}",Interior Design Studio,INTERIOR_DESIGNER,66.0
41,101,arch.anniaesteves,8212119867,in_progress,"Más que una arquitecta tradicional
Lifestyle | Interiorismo & Arquitectura
@aeinteriordesignstudio
Programas y servicios para transformar tu carrera👇🏼",False,False,True,False,"{""city_name"": null, ""city_id"": null, ""latitude"": null, ""longitude"": null, ""street_address"": null, ""zip_code"": null}",Architectural Designer,,472.0
42,10,homedecorbymf,3054127317,in_progress,empty,False,False,True,False,,Interior Design Studio,,42.0
43,4,skrutki,1421989361,in_progress,"🏡 Home 🛋 interior 🖼 design
Tag @Skrutki 👉🏻 DM",False,False,False,False,,,,95.0
44,51,bymidde,1443440418,in_progress,"Since 2014, BY-M represents leading brands and creates beautiful interiors. info@by-m.nl | TineKHome Benelux",False,False,True,True,"{""city_name"": null, ""city_id"": null, ""latitude"": null, ""longitude"": null, ""street_address"": null, ""zip_code"": null}",Home decor,TOPIC_HOME_DECOR,40.0
45,50,littleplantpalace,45767601944,in_progress,"🪴✨
60+ plants
84qm
Interior, plants and a great attention to detail 🥰",False,False,True,False,,Home decor,,64.0
46,60,color_place_interior,9268462603,in_progress,"use #colorplaceinterior 
DM us to be featured 💭
Shop here",False,False,True,False,,Home decor,,2304.0
47,55,vivianmirelly.interiores,272631701,in_progress,"•CO-Founder | DI Criativa @kliointeriores 
•Designer de Interiores
•PB <-> PE",False,False,True,False,,Designer,,24.0
48,98,idesign.mx,7164339932,in_progress,"•Arquitectura, construcción y diseño interior
• Expertos #comercial y #oficina 
📍SPGG, MTY, Mexico
@idr.residential
LEED Certified ♻️",False,False,True,True,,Art,,417.0
49,27,leonies.space,61234574574,in_progress,"🌼 interior blog | space age jungle
👽 searching for design classics
⚡️interior designer @simplespace.interior 
🔎 email: info@simplespace.ch",False,False,False,False,,,,53.0
50,7,styledbycasanova,612616145,in_progress,"Transforming Spaces, Elevating Lifestyles.          
Interiors | DIY | Living
📍 Atlanta
⬇️ Design. Inspire. Elevate.
nadia@palettemgmt.com",False,False,True,False,,Digital creator,,714.0
51,102,marylouiseinteriors,47962063414,empty,,False,False,,,,,,
52,106,australianhomesco,1593469503,empty,,False,False,,,,,,
53,107,modoo_interiors,48161068089,empty,,False,False,,,,,,
54,109,acv_interiors,7178997636,empty,,False,False,,,,,,
55,132,stellageorgeinteriors,63416041199,in_progress,"Showroom consultant @caesarstoneau 
Sharing my Interior Design journey.
Based in Adelaide, SA",False,False,True,True,,Interior Design Studio,,55.0
56,864,thehousethatcolourbuilt,13727260348,in_progress,"COLOUR CONSULTANT | AUTHOR | IVF MAMA
Currently OPEN for bookings - please email👇🏼
•Thehousethatcolourbuilt@outlook.com
•COLOUR CONFIDENCE 📘out now!",False,False,True,False,,Home decor,,385.0
57,116,leens_living,2874812878,in_progress,"• Rijksmonument uit 1680 in hartje Thorn
• Wit van buiten, kleurrijk van binnen
Samenwerken? Superleuk! 》DM",False,False,True,False,,Personal blog,,307.0
58,114,mary_teren_sketch,69507143249,empty,,False,False,,,,,,
59,117,interiordesignstein,277598168,empty,,False,False,,,,,,
60,104,emy.interior,18033915355,in_progress,"interior | aesthetics | art
Gartenwohnung im Salzkammergut 
Our home by @emelykastenhuber
TikTok: emy.home",False,False,True,False,,Home decor,,193.0
61,121,michaelsimoninteriors,3227357963,empty,,False,False,,,,,,
62,193,home_number.4,55038662367,in_progress,,False,False,,,,,,
63,126,thomasandhurley,47873939781,empty,,False,False,,,,,,
64,127,ciao.monaco.interior,56380959045,empty,,False,False,,,,,,
65,178,kinteriors_sf,5606006,in_progress,Award wining Interior Design Studio based in San Francisco. Projects within CA and beyond.,False,False,True,False,"{""city_name"": null, ""city_id"": null, ""latitude"": null, ""longitude"": null, ""street_address"": null, ""zip_code"": null}",Interior Design Studio,,1708.0
66,131,duatukangfurniture,12349021671,empty,,True,False,,,,,,
67,137,interior_by_karin,44020753688,empty,,False,False,,,,,,
68,133,adanaestudio,70343322320,in_progress,"Margarita González Adán
Creo hogares atemporales. Aunque la vida cambia, la personalidad permanece.
📍Vigo",False,False,True,False,,Interior Design Studio,,76.0
69,143,turi_interior,52092497737,empty,,False,False,,,,,,
70,130,jil.sevens.interiors,13056284948,in_progress,Exceptional Interiors of unique beauty and timeless elegance | Haute Decor & Room Perfumery📍Germany,False,False,True,True,,Public figure,,52.0
71,151,rainbow.shaker,46663266215,empty,,True,False,,,,,,
72,154,bohomes.de,56817284831,empty,,False,False,,,,,,
73,103,interiormoderna.nyc,66001166972,in_progress,"DESIGN YOUR DREAMS.
 
Seen in @apartmenttherapy, @southernlivingmag, @livingetcofficial, etc.",False,False,True,True,,Furniture store,,100.0
74,160,okoishome,57733540391,in_progress,"📍Amsterdam • 50m² of transformation 
Sharing my interior journey x life in Ams
✉️ okoishome@gmail.com",False,False,True,False,,Personal blog,,36.0
75,158,dbdstudio.co,55945906401,empty,,False,False,,,,,,
76,159,nookandsillinteriors_,8186869869,empty,,False,False,,,,,,
77,161,nmt_interiordesign,7167106693,empty,,False,False,,,,,,
78,140,valiant.interiors,262562012,in_progress,"B Corp Certified | Award-Winning Property Designers & Stylists across Australia’s East Coast ✨ For events, check out: @valiant.events",False,False,True,False,,Furniture,,1046.0
79,157,cambio.interior,6335046939,in_progress,Austrian living in Rotterdam 🏠,False,False,True,True,,Digital creator,DIGITAL_CREATOR,65.0
80,165,cocodeco.interiordesign,49696767626,empty,,False,False,,,,,,
81,168,gray_and_co,485681094,empty,,False,False,,,,,,
82,111,coastal_interiordesign,55169620731,in_progress,"Located in Noosa Heads, we specialise in thoughtfully styling holiday homes that will get the property found, featured, and booked.",False,False,True,False,,Interior Design Studio,,41.0
83,170,myinterior,303359809,empty,,False,False,,,,,,
84,171,wohnweise,33921766266,empty,,False,False,,,,,,
85,108,signatureliving.co,73724755184,in_progress,"Elegant Interiors in Stone & Nude Tones, minimal design, timeless elegance, expert tips, inspiring your dream space daily",False,False,True,False,,Digital creator,,7.0
86,177,interioroaming,69919612956,in_progress,"✨Hi, I’m Erin! Aussie based in Amsterdam 
💙Sharing aesthetic finds and interior design inspiration from my home & travels around the world",False,False,True,False,,Digital creator,,84.0
87,182,interiorsmarketatl,2887214310,empty,,False,False,,,,,,
